COUNTRY_REGION,STATECD,STATENM,NUM_HOSPITALS,NUM_ICUBEDS,TOTAL_STATE_POP,TOTAL_CASES_CONFIRMED,TOTAL_CASES_DEATHS,TOTAL_DOSES_ADMIN,TOTAL_PEOPLE_RECD_DOSE,TOTAL_PEOPLE_2ND_DOSE
United States,AK,Alaska,22,119,728862,307655,1486,1209093,523872,432432
United States,AL,Alabama,86,1533,4841164,1644533,21032,6578223,3139166,2445876
United States,AR,Arkansas,74,732,2968472,1006883,13020,4475435,2061363,1602410
United States,AZ,Arizona,76,1559,6728577,2443514,33102,13030381,5505897,4379652
United States,CA,California,329,7338,38654206,12129699,101159,80172163,34100720,28047845
United States,CO,Colorado,80,1597,5359295,1764401,14181,11524363,4694998,3964547
United States,CT,Connecticut,30,674,3588570,976657,12220,8077182,3503397,2750843
United States,DC,District of Columbia,6,314,659009,177945,1432,1986610,738804,531371
United States,DE,Delaware,6,186,934695,330793,3324,1931891,831591,658073
United States,FL,Florida,178,5604,19934451,7574590,86850,39453696,17400470,13688874
United States,GA,Georgia,129,2508,10099320,3068208,42489,15771880,7119528,5743024
United States,HI,Hawaii,21,201,1413673,380608,1841,3884150,1093979,778121
United States,IA,Iowa,116,545,3106589,903991,10725,5435034,2186294,1891438
United States,ID,Idaho,42,314,1635483,521120,5416,2608683,1119434,945146
United States,IL,Illinois,176,3144,12851684,4083292,41496,24007969,9804138,8501221
United States,IN,Indiana,118,1861,6589578,2051104,26115,10317965,4257211,3646579
United States,KS,Kansas,132,767,2898292,938184,10066,4833013,2180685,1769866
United States,KY,Kentucky,91,1392,4411989,1718471,18130,6871713,3016920,2474432
United States,LA,Louisiana,111,1289,4645670,1573810,18766,6547445,2886785,2402176
United States,MA,Massachusetts,58,1326,6742143,2224337,24333,15891234,7003836,5388862
United States,MD,Maryland,47,1134,5959902,1365297,16544,13045598,5387276,4536835
United States,ME,Maine,33,256,1329923,318130,2928,3070083,1255589,1020614
United States,MI,Michigan,130,2423,9909600,3064125,42205,16646803,6785610,5856009
United States,MN,Minnesota,127,1171,5450868,1778866,14870,11125076,4337428,3844174
United States,MO,Missouri,106,1888,6059651,1777380,22870,9490567,4157219,3375502
United States,MS,Mississippi,95,824,2989192,990756,13370,4072117,1813319,1518277
United States,MT,Montana,62,165,1023391,329386,3652,1683894,712679,822245
United States,NC,North Carolina,106,2227,9940828,3472644,28432,17765853,9187114,6315879
United States,ND,North Dakota,44,238,736162,286950,2470,1415160,511544,408417
United States,NE,Nebraska,87,440,1881259,567426,4936,3405439,1389824,1206528
United States,NH,New Hampshire,26,242,1327503,378428,3003,2735991,1465389,939690
United States,NJ,New Jersey,64,1822,8915456,3048984,36015,18111476,8212432,6551398
United States,NM,New Mexico,42,340,2082669,670929,9061,4212180,1900408,1465159
United States,NV,Nevada,36,900,2839172,890122,11922,5152562,2373876,1788371
United States,NY,New York,165,3952,19697457,6794738,77157,41241407,17933445,14516577
United States,OH,Ohio,156,3314,11586941,3400652,41796,19045195,7545271,6633866
United States,OK,Oklahoma,118,1064,3875589,1290929,17972,6222156,2881525,2218261
United States,OR,Oregon,59,659,3982267,963564,9373,8323680,3353359,2845030
United States,PA,Pennsylvania,162,3169,12783977,3527854,50398,24571828,11231514,8555399
United States,RI,Rhode Island,10,279,1054491,460697,3870,2370022,1083648,874032
United States,SC,South Carolina,57,1225,4834605,1836568,19600,7966136,3575737,2873752
United States,SD,South Dakota,56,152,836795,279130,3190,1518079,703420,537772
United States,TN,Tennessee,100,2209,6548009,2515130,29263,10512798,4333046,3638832
United States,TX,Texas,384,6199,26956435,8466220,93390,48879390,21741273,17202836
United States,UT,Utah,45,565,2948427,1090346,5298,5526216,2366140,2000927
United States,VA,Virginia,81,1654,8310301,2291951,23666,17522728,7518339,6133705
United States,VT,Vermont,14,94,626249,152618,929,1518517,600589,525336
United States,WA,Washington,88,1265,7073146,1928913,15683,15497444,6322168,5372441
United States,WI,Wisconsin,122,1159,5754798,2006582,16375,10983539,4270893,3739369
United States,WV,West Virginia,49,653,1846092,642760,7960,2646921,1607890,1220353
United States,WY,Wyoming,27,102,583029,185385,2004,781320,343443,280871
